sample_id,source_char_len,source_word_count,fp32_chrf,int8_chrf,delta_chrf,fp32_latency_ms,int8_latency_ms,delta_latency_ms
common_voice_de_18128569,35,6,52.84238332751736,52.84238332751736,0.0,863.686300000154,1328.0359000000317,-464.3495999998777
common_voice_de_18268001,35,6,46.08171674074041,46.08171674074041,0.0,606.7904999999882,945.0456999993548,-338.2551999993666
common_voice_de_18212547,93,13,52.76039133743541,57.93468203741882,-5.174290699983409,1907.5559000002613,2644.8168000006262,-737.2609000003649
common_voice_de_19700289,65,8,52.194158490400625,52.54984282037572,-0.355684329975098,919.4106999984797,1425.769900000887,-506.3592000024073
common_voice_de_19685250,87,11,66.24023295791139,66.24023295791139,0.0,1414.6101000005729,2373.603000000003,-958.9928999994299
common_voice_de_19750953,89,14,44.85675942475994,44.85675942475994,0.0,1997.2113000003446,2830.9476999984327,-833.736399998088
common_voice_de_18476532,21,4,69.73723610018176,69.73723610018176,0.0,431.79609999970126,712.6817999997002,-280.8856999999989
common_voice_de_19599041,94,13,60.80275098775988,60.80275098775988,0.0,2645.247399999789,2569.2815000002156,75.9658999995736
common_voice_de_19619146,100,12,76.86367865988916,76.86367865988916,0.0,1322.2671000003174,2091.064700000061,-768.7975999997434
common_voice_de_19495506,40,5,73.62470666591095,73.62470666591095,0.0,653.7725999987742,1105.8302000001277,-452.0576000013534
common_voice_de_17448391,38,7,35.09837404887474,35.09837404887474,0.0,1318.8012999999046,1735.6712000000698,-416.8699000001652
common_voice_de_17683549,58,6,56.070815857641776,56.070815857641776,0.0,820.2868000000763,704.1352000001098,116.15159999996649
common_voice_de_18205646,83,12,56.845082762693266,69.2774602920587,-12.43237752936544,1040.965099999994,4005.0559999999678,-2964.0908999999738
common_voice_de_17858305,77,11,67.33625210502142,67.33625210502142,0.0,890.3457000001254,1484.2783000003692,-593.9326000002438
common_voice_de_19947492,56,8,50.00966681191837,50.00966681191837,0.0,885.6821000008495,823.1823999999506,62.49970000089888
common_voice_de_17365393,60,10,24.448414462397654,26.86609484171054,-2.4176803793128876,1186.2615000000005,1545.7965999999033,-359.53509999990274
common_voice_de_18878437,39,5,25.68712331462838,22.915826059891316,2.771297254737064,831.8167000006724,933.3529999994425,-101.53629999877012
common_voice_de_18689631,75,11,50.10413211289245,50.10413211289245,0.0,1267.0356999997239,1288.823599999887,-21.787900000163063
common_voice_de_19145091,81,9,83.48109525427346,83.48109525427346,0.0,1211.640599999555,1169.4989999996324,42.14159999992262
common_voice_de_18220503,15,2,73.1236877818437,73.1236877818437,0.0,349.8927000000549,631.9711000005555,-282.07840000050055
common_voice_de_19858601,64,10,66.19498052647343,60.98605433356573,5.208926192907697,892.6446999994369,712.7679999998691,179.8766999995678
common_voice_de_19990517,59,10,61.476774964302116,61.476774964302116,0.0,1102.3968000008608,916.1925999997038,186.204200001157
common_voice_de_19588626,49,7,31.63915749907623,27.513396392211042,4.125761106865188,1724.9568999995972,1513.1249000005482,211.831999999049
common_voice_de_18195066,54,9,53.40555641798189,53.40555641798189,0.0,1325.1811999998608,2306.4932999996017,-981.3120999997409
common_voice_de_18224745,28,4,60.82920327684385,60.82920327684385,0.0,481.7416000000776,839.8989999996047,-358.1573999995271
common_voice_de_19402851,56,9,57.25679166023615,57.25679166023615,0.0,1344.275800000105,1311.0859000007622,33.18989999934274
common_voice_de_19628304,47,6,28.37647698351919,28.37647698351919,0.0,944.1587000001164,1535.1871999992,-591.0284999990836
common_voice_de_19647563,74,12,53.14497108431772,53.14497108431772,0.0,2035.3706999994756,2323.7411999998585,-288.3705000003829
common_voice_de_19685968,55,7,100.0,100.0,0.0,1110.7972000008886,1273.242699999173,-162.4454999982845
common_voice_de_19657307,100,14,76.63915823482354,76.63915823482354,0.0,1956.1973999989277,2224.160200001279,-267.9628000023513
